# Zeit in s, Temperatur in °C
0.000000000000000000e+00,2.624150863273757750e+01
5.000000000000000000e-01,2.861087030660724650e+01
1.000000000000000000e+00,3.082529358570738509e+01
1.500000000000000000e+00,3.031053397046879638e+01
2.000000000000000000e+00,3.255595032329349436e+01
2.500000000000000000e+00,3.331622641694036702e+01
3.000000000000000000e+00,3.498506252377553949e+01
3.500000000000000000e+00,3.605325977522349490e+01
4.000000000000000000e+00,3.748982968752050482e+01
4.500000000000000000e+00,3.827535613275448867e+01
5.000000000000000000e+00,3.828877950022970822e+01
5.500000000000000000e+00,3.851092179651217862e+01
6.000000000000000000e+00,3.940655374024558455e+01
6.500000000000000000e+00,4.021674715716591919e+01
7.000000000000000000e+00,4.074761369054963467e+01
7.500000000000000000e+00,4.185719959419378000e+01
8.000000000000000000e+00,4.298610711616161240e+01
8.500000000000000000e+00,4.235626280373289632e+01
9.000000000000000000e+00,4.247733589005326849e+01
9.500000000000000000e+00,4.336503539093095583e+01
1.000000000000000000e+01,4.327454316587481031e+01
1.050000000000000000e+01,4.387972384993905450e+01
1.100000000000000000e+01,4.457644809185127599e+01
1.150000000000000000e+01,4.382722933823276179e+01
1.200000000000000000e+01,4.367505269638586185e+01
1.250000000000000000e+01,4.404245905237600311e+01
1.300000000000000000e+01,4.558736207669479512e+01
1.350000000000000000e+01,4.466689365150615032e+01
1.400000000000000000e+01,4.498535960209714091e+01
1.450000000000000000e+01,4.550683074541477424e+01
1.500000000000000000e+01,4.530904758452543035e+01
1.550000000000000000e+01,4.594837493274312124e+01
1.600000000000000000e+01,4.624023584046020829e+01
1.650000000000000000e+01,4.623495531084621746e+01
1.700000000000000000e+01,4.612025170074389280e+01
1.750000000000000000e+01,4.575013672074643978e+01
1.800000000000000000e+01,4.663465242424334178e+01
1.850000000000000000e+01,4.594545764305345159e+01
1.900000000000000000e+01,4.633342645692183481e+01
1.950000000000000000e+01,4.576114115456191911e+01
2.000000000000000000e+01,4.711682618619904162e+01
2.050000000000000000e+01,4.683100234801199235e+01
2.100000000000000000e+01,4.685347197872999203e+01
2.150000000000000000e+01,4.622388612867280244e+01
2.200000000000000000e+01,4.629675549338536200e+01
2.250000000000000000e+01,4.599822737599138378e+01
2.300000000000000000e+01,4.748581754588534665e+01
2.350000000000000000e+01,4.586433620765524921e+01
2.400000000000000000e+01,4.747178331945738705e+01
2.450000000000000000e+01,4.547458687995634108e+01
2.500000000000000000e+01,4.622521376686128036e+01
2.550000000000000000e+01,4.744439003363955720e+01
2.600000000000000000e+01,4.663723208556822186e+01
2.650000000000000000e+01,4.653394866661700746e+01
2.700000000000000000e+01,4.655755159626681916e+01
2.750000000000000000e+01,4.694811719298628816e+01
2.800000000000000000e+01,4.637474132444874897e+01
2.850000000000000000e+01,4.662366926132522593e+01
2.900000000000000000e+01,4.686437618868925625e+01
2.950000000000000000e+01,4.686437618868925625e+01
3.000000000000000000e+01,4.593466926132522593e+01
